W(GeV)	WErrorp	WErrorm	sigma(mub)	Errorp	Errorm
4.614661307325515	0.0	0.0	130.39999999999998	11.093697353001836	11.093697353001836
4.682793933847679	0.2526959846336725	0.2668755572342807	123.60000000000001	2.2	2.2
4.858347196672419	0.0	0.0	128.3	13.269442363565998	13.269442363565998
5.025625478349143	0.27190729978665296	0.2872832892668047	117.7	2.2	2.2
5.102653951865584	0.0	0.0	119.3	17.78238254565456	17.78238254565456
5.229972746924008	0.27891611079819345	0.29448282844265616	114.6	2.5	2.5
5.347823071984584	0.0	0.0	112.10000000000001	32.37012845201576	32.37012845201576
5.59154787608568	0.0	0.0	139.9	40.74750702803792	40.74750702803792
5.704288824271452	0.31945092153477095	0.3382941492810856	113.60000000000001	2.6	2.6
6.01128575536281	0.0	0.0	116.90999999999998	1.076907357621815	1.076907357621815
6.731897687684808	0.0	0.0	115.37	1.0953545581682673	1.0953545581682673
7.331757869648394	0.0	0.0	113.74000000000001	1.2782419928949291	1.2782419928949291
7.730122274778271	0.0	0.0	114.34000000000002	1.3603705908317778	1.3603705908317778
7.790530493937136	0.0	0.0	114.19000000000001	0.970272358103641	0.970272358103641
8.120530454194814	0.0	0.0	114.84000000000002	1.3624327705982413	1.3624327705982413
8.381902830122483	0.0	0.0	112.18	1.6051894802795088	1.6051894802795088
8.537087338495736	0.0	0.0	113.5	0.9956054690488596	0.9956054690488596
9.172507032164356	0.0	0.0	114.57000000000001	1.1541611499699684	1.1541611499699684
9.233646726274436	0.0	0.0	114.84000000000002	0.9466905800735529	0.9466905800735529
9.621597472423753	0.0	0.0	114.57000000000001	1.183253125962488	1.183253125962488
10.022623246764708	0.0	0.0	114.25	1.189117345975577	1.189117345975577
10.235581057014025	0.0	0.0	113.10999999999999	0.9583839172795	0.9583839172795
10.299520879893256	0.0	0.0	114.05999999999999	1.6116682339737294	1.6116682339737294
11.063423571596886	0.0	0.0	114.81	1.1061127740425023	1.1061127740425023
11.364516794221693	0.0	0.0	114.58	0.978212780329515	0.978212780329515
11.64979168209557	0.0	0.0	114.0	1.1228998174369786	1.1228998174369786
12.161853554722661	0.0	0.0	114.02000000000001	1.1229993141582946	1.1229993141582946
12.504083468029755	0.0	0.0	116.60999999999999	1.2908511583060225	1.2908511583060225
12.616097824905754	0.0	0.0	115.89	1.014984784565759	1.014984784565759
13.665345144891553	0.0	0.0	115.59000000000002	1.202826403476412	1.202826403476412
13.685920960647417	0.0	0.0	115.85	1.0978341871612487	1.0978341871612487
14.367980109320461	0.0	0.0	113.82000000000001	1.1945269472054618	1.1945269472054618
14.9878435262576	0.0	0.0	116.52	1.2827192247721244	1.2827192247721244
15.17442857141894	0.0	0.0	116.37	1.1918292109610336	1.1918292109610336
15.431857887468718	0.0	0.0	114.3	1.3602058704475584	1.3602058704475584
16.375515254912266	0.0	0.0	115.8	1.532015783208515	1.532015783208515
17.256816564816305	0.0	0.0	119.78	1.5469373521898035	1.5469373521898035
18.022532059921577	0.0	0.0	116.37	1.5341306554853795	1.5341306554853795
18.5609640487026	0.0	0.0	118.49000000000001	1.8022081247458632	1.8022081247458632
45.40316554352557	0.0	0.0	128.0	13.999999999999998	13.999999999999998
53.90041054757832	0.0	0.0	146.0	15.0	15.0
75.3949892723287	0.0	0.0	148.0	23.0	23.0
133.4840877897251	0.0	0.0	152.0	80.0	80.0
199.97174732091923	51.99546426133756	34.99063402336995	165.3	11.149606990383115	11.149606990383115
208.97227501095955	0.0	0.0	174.0	13.088258096477164	13.088258096477164
